key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,fentanylPercentageChange,methamphetaminePercentageChange,cocainePercentageChange,benzoPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,fentanylIsSignificant,methamphetamineIsSignificant,cocaineIsSignificant,benzoIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,fentanylSignificance,methamphetamineSignificance,cocaineSignificance,benzoSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange,jurisdiction_count,comparisonType
NV|2023|3|all|all:NV|2024|3|all|all,1.89,31.45,suppressed,-68.44,126.69,-70.96,suppressed,-42.81,false,true,false,true,true,true,false,true,No Significant Change,Significant Increase,Data Not Available/Not Reported,Significant Decrease,Significant Increase,Significant Decrease,Data Not Available/Not Reported,Significant Decrease,NV,US-NV,2023,3,2024,3,all,all,1,8Year2YearSameMonthNV
NY|2018|1|all|all:NY|2019|1|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,1,2019,1,all,all,1,8Year2YearSameMonthNY
NY|2018|2|all|all:NY|2019|2|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,2,2019,2,all,all,1,8Year2YearSameMonthNY
NY|2018|3|all|all:NY|2019|3|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,3,2019,3,all,all,1,8Year2YearSameMonthNY
NY|2018|4|all|all:NY|2019|4|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,4,2019,4,all,all,1,8Year2YearSameMonthNY
NY|2018|5|all|all:NY|2019|5|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,5,2019,5,all,all,1,8Year2YearSameMonthNY
NY|2018|6|all|all:NY|2019|6|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,6,2019,6,all,all,1,8Year2YearSameMonthNY
NY|2018|7|all|all:NY|2019|7|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,7,2019,7,all,all,1,8Year2YearSameMonthNY
NY|2018|8|all|all:NY|2019|8|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,8,2019,8,all,all,1,8Year2YearSameMonthNY
NY|2018|9|all|all:NY|2019|9|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,9,2019,9,all,all,1,8Year2YearSameMonthNY
NY|2018|10|all|all:NY|2019|10|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,10,2019,10,all,all,1,8Year2YearSameMonthNY
NY|2018|11|all|all:NY|2019|11|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,11,2019,11,all,all,1,8Year2YearSameMonthNY
NY|2018|12|all|all:NY|2019|12|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2018,12,2019,12,all,all,1,8Year2YearSameMonthNY
NY|2019|1|all|all:NY|2020|1|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,1,2020,1,all,all,1,8Year2YearSameMonthNY
NY|2019|2|all|all:NY|2020|2|all|all,missing,missing,missing,missing,missing,missing,missing,missing,false,false,false,false,false,false,false,false,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,2,2020,2,all,all,1,8Year2YearSameMonthNY
NY|2019|3|all|all:NY|2020|3|all|all,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,3,2020,3,all,all,1,8Year2YearSameMonthNY
NY|2019|4|all|all:NY|2020|4|all|all,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,4,2020,4,all,all,1,8Year2YearSameMonthNY
NY|2019|5|all|all:NY|2020|5|all|all,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,NY,US-NY,2019,5,2020,5,all,all,1,8Year2YearSameMonthNY
