Jurisdiction,statename,month,Year,m_name,Age,Sex,Suspected_drug_OD_n,Suspected_opioid_OD_n,Suspected_heroin_OD_n,Suspected_stimulant_OD_n,Total_ED
UT,UTAH,3,2021,M32021,55+,Missing,.,.,.,.,1
VA,VIRGINIA,3,2021,M32021,55+,Missing,.,.,.,.,25
VT,VERMONT,3,2021,M32021,55+,Missing,.,.,.,.,.
WA,WASHINGTON,3,2021,M32021,55+,Missing,.,.,.,.,24
WI,WISCONSIN,3,2021,M32021,55+,Missing,1,.,.,.,6
WV,WEST VIRGINIA,3,2021,M32021,55+,Missing,.,.,.,.,29
AK,ALASKA,4,2021,M42021,55+,Missing,.,.,.,.,2
AL,ALABAMA,4,2021,M42021,55+,Missing,.,.,.,.,7
AR,ARKANSAS,4,2021,M42021,55+,Missing,.,.,.,.,2
AZ,ARIZONA,4,2021,M42021,55+,Missing,.,.,.,.,62
CO,COLORADO,4,2021,M42021,55+,Missing,1,.,.,.,12
CT,CONNECTICUT,4,2021,M42021,55+,Missing,1,.,.,.,5
DC,DISTRICT OF COLUMBIA,4,2021,M42021,55+,Missing,.,.,.,.,.
DE,DELAWARE,4,2021,M42021,55+,Missing,.,.,.,.,.
FL,FLORIDA,4,2021,M42021,55+,Missing,5,1,.,1,360
GA,GEORGIA,4,2021,M42021,55+,Missing,19,1,.,2,1002
ID,IDAHO,4,2021,M42021,55+,Missing,.,.,.,.,3
IL,ILLINOIS,4,2021,M42021,55+,Missing,1,.,.,.,27
IN,INDIANA,4,2021,M42021,55+,Missing,.,.,.,.,2
KS,KANSAS,4,2021,M42021,55+,Missing,.,.,.,.,34
LA,LOUISIANA,4,2021,M42021,55+,Missing,.,.,.,.,9
MA,MASSACHUSETTS,4,2021,M42021,55+,Missing,1,.,.,.,12
MD,MARYLAND,4,2021,M42021,55+,Missing,1,.,.,.,14
ME,MAINE,4,2021,M42021,55+,Missing,11,3,.,.,2945
MI,MICHIGAN,4,2021,M42021,55+,Missing,.,.,.,.,10
MO,MISSOURI,4,2021,M42021,55+,Missing,.,.,.,.,2
MS,MISSISSIPPI,4,2021,M42021,55+,Missing,.,.,.,.,2
MT,MONTANA,4,2021,M42021,55+,Missing,.,.,.,.,4
NC,NORTH CAROLINA,4,2021,M42021,55+,Missing,1,1,.,.,35
NH,NEW HAMPSHIRE,4,2021,M42021,55+,Missing,.,.,.,.,5
NJ,NEW JERSEY,4,2021,M42021,55+,Missing,.,.,.,.,7
NM,NEW MEXICO,4,2021,M42021,55+,Missing,.,.,.,.,1
NV,NEVADA,4,2021,M42021,55+,Missing,.,.,.,.,13
NY,NEW YORK,4,2021,M42021,55+,Missing,1,.,.,.,43
OR,OREGON,4,2021,M42021,55+,Missing,.,.,.,.,14
PA,PENNSYLVANIA,4,2021,M42021,55+,Missing,4,.,.,.,53
RI,RHODE ISLAND,4,2021,M42021,55+,Missing,.,.,.,.,1
SC,SOUTH CAROLINA,4,2021,M42021,55+,Missing,.,.,.,.,15
SD,SOUTH DAKOTA,4,2021,M42021,55+,Missing,.,.,.,.,.
TN,TENNESSEE,4,2021,M42021,55+,Missing,.,.,.,.,6
UT,UTAH,4,2021,M42021,55+,Missing,1,.,.,.,6
VA,VIRGINIA,4,2021,M42021,55+,Missing,.,.,.,.,45
VT,VERMONT,4,2021,M42021,55+,Missing,.,.,.,.,.
WA,WASHINGTON,4,2021,M42021,55+,Missing,.,.,.,.,20
WI,WISCONSIN,4,2021,M42021,55+,Missing,.,.,.,.,7
WV,WEST VIRGINIA,4,2021,M42021,55+,Missing,1,.,.,.,20
AK,ALASKA,5,2021,M52021,55+,Missing,.,.,.,.,2
AL,ALABAMA,5,2021,M52021,55+,Missing,.,.,.,.,10
AR,ARKANSAS,5,2021,M52021,55+,Missing,.,.,.,.,1
AZ,ARIZONA,5,2021,M52021,55+,Missing,.,.,.,.,377
CO,COLORADO,5,2021,M52021,55+,Missing,1,.,.,.,8
CT,CONNECTICUT,5,2021,M52021,55+,Missing,.,.,.,.,5
DC,DISTRICT OF COLUMBIA,5,2021,M52021,55+,Missing,.,.,.,.,.
DE,DELAWARE,5,2021,M52021,55+,Missing,.,.,.,.,.
FL,FLORIDA,5,2021,M52021,55+,Missing,2,1,.,.,411
GA,GEORGIA,5,2021,M52021,55+,Missing,15,.,.,.,1103
ID,IDAHO,5,2021,M52021,55+,Missing,.,.,.,.,1
IL,ILLINOIS,5,2021,M52021,55+,Missing,.,.,.,.,34
IN,INDIANA,5,2021,M52021,55+,Missing,.,.,.,.,2
KS,KANSAS,5,2021,M52021,55+,Missing,.,.,.,.,27
LA,LOUISIANA,5,2021,M52021,55+,Missing,.,.,.,.,16
MA,MASSACHUSETTS,5,2021,M52021,55+,Missing,.,.,.,.,14
MD,MARYLAND,5,2021,M52021,55+,Missing,.,.,.,.,12
ME,MAINE,5,2021,M52021,55+,Missing,5,3,1,.,3356
MI,MICHIGAN,5,2021,M52021,55+,Missing,.,.,.,.,6
MO,MISSOURI,5,2021,M52021,55+,Missing,.,.,.,.,3
MS,MISSISSIPPI,5,2021,M52021,55+,Missing,.,.,.,.,8
MT,MONTANA,5,2021,M52021,55+,Missing,1,.,.,.,3
NH,NEW HAMPSHIRE,5,2021,M52021,55+,Missing,.,.,.,.,6
NJ,NEW JERSEY,5,2021,M52021,55+,Missing,.,.,.,.,7
NM,NEW MEXICO,5,2021,M52021,55+,Missing,.,.,.,.,1
NV,NEVADA,5,2021,M52021,55+,Missing,.,.,.,.,11
NY,NEW YORK,5,2021,M52021,55+,Missing,7,2,1,1,70
OR,OREGON,5,2021,M52021,55+,Missing,.,.,.,.,12
PA,PENNSYLVANIA,5,2021,M52021,55+,Missing,2,.,.,.,44
RI,RHODE ISLAND,5,2021,M52021,55+,Missing,.,.,.,.,1
SC,SOUTH CAROLINA,5,2021,M52021,55+,Missing,1,1,.,.,17
SD,SOUTH DAKOTA,5,2021,M52021,55+,Missing,.,.,.,.,.
TN,TENNESSEE,5,2021,M52021,55+,Missing,.,.,.,.,6
UT,UTAH,5,2021,M52021,55+,Missing,.,.,.,.,5
VA,VIRGINIA,5,2021,M52021,55+,Missing,.,.,.,.,33
VT,VERMONT,5,2021,M52021,55+,Missing,.,.,.,.,3
WA,WASHINGTON,5,2021,M52021,55+,Missing,1,.,.,.,22
WI,WISCONSIN,5,2021,M52021,55+,Missing,2,.,.,.,12
WV,WEST VIRGINIA,5,2021,M52021,55+,Missing,1,.,.,.,26
AK,ALASKA,6,2021,M62021,55+,Missing,.,.,.,.,9
AL,ALABAMA,6,2021,M62021,55+,Missing,.,.,.,.,4
AR,ARKANSAS,6,2021,M62021,55+,Missing,.,.,.,.,1
AZ,ARIZONA,6,2021,M62021,55+,Missing,.,.,.,.,73
CO,COLORADO,6,2021,M62021,55+,Missing,.,.,.,.,15
CT,CONNECTICUT,6,2021,M62021,55+,Missing,.,.,.,.,7
DC,DISTRICT OF COLUMBIA,6,2021,M62021,55+,Missing,.,.,.,.,.
DE,DELAWARE,6,2021,M62021,55+,Missing,.,.,.,.,.
FL,FLORIDA,6,2021,M62021,55+,Missing,9,3,.,.,328
GA,GEORGIA,6,2021,M62021,55+,Missing,14,.,.,.,1091
ID,IDAHO,6,2021,M62021,55+,Missing,.,.,.,.,5
IL,ILLINOIS,6,2021,M62021,55+,Missing,1,.,.,.,53
IN,INDIANA,6,2021,M62021,55+,Missing,.,.,.,.,.
KS,KANSAS,6,2021,M62021,55+,Missing,.,.,.,.,21
LA,LOUISIANA,6,2021,M62021,55+,Missing,.,.,.,.,14
MA,MASSACHUSETTS,6,2021,M62021,55+,Missing,1,.,.,.,8
MD,MARYLAND,6,2021,M62021,55+,Missing,2,.,.,.,11
ME,MAINE,6,2021,M62021,55+,Missing,7,4,.,1,3707
MI,MICHIGAN,6,2021,M62021,55+,Missing,.,.,.,.,8
MO,MISSOURI,6,2021,M62021,55+,Missing,.,.,.,.,5
MS,MISSISSIPPI,6,2021,M62021,55+,Missing,.,.,.,.,1
MT,MONTANA,6,2021,M62021,55+,Missing,.,.,.,.,4
NH,NEW HAMPSHIRE,6,2021,M62021,55+,Missing,.,.,.,.,5
NJ,NEW JERSEY,6,2021,M62021,55+,Missing,.,.,.,.,5
NM,NEW MEXICO,6,2021,M62021,55+,Missing,.,.,.,.,.
NV,NEVADA,6,2021,M62021,55+,Missing,.,.,.,.,6
NY,NEW YORK,6,2021,M62021,55+,Missing,5,3,.,.,60
OR,OREGON,6,2021,M62021,55+,Missing,.,.,.,.,6
PA,PENNSYLVANIA,6,2021,M62021,55+,Missing,.,.,.,.,33
RI,RHODE ISLAND,6,2021,M62021,55+,Missing,.,.,.,.,.
SC,SOUTH CAROLINA,6,2021,M62021,55+,Missing,.,.,.,.,13
SD,SOUTH DAKOTA,6,2021,M62021,55+,Missing,.,.,.,.,5
TN,TENNESSEE,6,2021,M62021,55+,Missing,.,.,.,.,5
UT,UTAH,6,2021,M62021,55+,Missing,.,.,.,.,6
VA,VIRGINIA,6,2021,M62021,55+,Missing,.,.,.,.,44
VT,VERMONT,6,2021,M62021,55+,Missing,.,.,.,.,.
WA,WASHINGTON,6,2021,M62021,55+,Missing,1,.,.,.,28
WI,WISCONSIN,6,2021,M62021,55+,Missing,1,.,.,.,9
WV,WEST VIRGINIA,6,2021,M62021,55+,Missing,1,.,.,.,20
AK,ALASKA,1,2018,M12018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,1,2018,M12018,Missing,Missing,.,.,.,.,172
AR,ARKANSAS,1,2018,M12018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,1,2018,M12018,Missing,Missing,.,.,.,.,10
CO,COLORADO,1,2018,M12018,Missing,Missing,.,.,.,.,.
CT,CONNECTICUT,1,2018,M12018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,1,2018,M12018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,1,2018,M12018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,1,2018,M12018,Missing,Missing,.,.,.,.,46
IL,ILLINOIS,1,2018,M12018,Missing,Missing,.,.,.,.,38
IN,INDIANA,1,2018,M12018,Missing,Missing,.,.,.,.,.
KS,KANSAS,1,2018,M12018,Missing,Missing,.,.,.,.,1
KY,KENTUCKY,1,2018,M12018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,1,2018,M12018,Missing,Missing,.,.,.,.,1
MA,MASSACHUSETTS,1,2018,M12018,Missing,Missing,.,.,.,.,1
MD,MARYLAND,1,2018,M12018,Missing,Missing,1,1,.,.,22
ME,MAINE,1,2018,M12018,Missing,Missing,.,.,.,.,2
MI,MICHIGAN,1,2018,M12018,Missing,Missing,4,.,.,.,170
MO,MISSOURI,1,2018,M12018,Missing,Missing,.,.,.,.,3
MT,MONTANA,1,2018,M12018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,1,2018,M12018,Missing,Missing,.,.,.,.,16
NH,NEW HAMPSHIRE,1,2018,M12018,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,1,2018,M12018,Missing,Missing,.,.,.,.,8
NM,NEW MEXICO,1,2018,M12018,Missing,Missing,.,.,.,.,.
NV,NEVADA,1,2018,M12018,Missing,Missing,.,.,.,.,6
NY,NEW YORK,1,2018,M12018,Missing,Missing,.,.,.,.,.
OH,OHIO,1,2018,M12018,Missing,Missing,.,.,.,.,11
OR,OREGON,1,2018,M12018,Missing,Missing,8,3,2,.,254
PA,PENNSYLVANIA,1,2018,M12018,Missing,Missing,.,.,.,.,17
SD,SOUTH DAKOTA,1,2018,M12018,Missing,Missing,.,.,.,.,1
TN,TENNESSEE,1,2018,M12018,Missing,Missing,.,.,.,.,.
UT,UTAH,1,2018,M12018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,1,2018,M12018,Missing,Missing,.,.,.,.,.
VT,VERMONT,1,2018,M12018,Missing,Missing,.,.,.,.,3
WA,WASHINGTON,1,2018,M12018,Missing,Missing,.,.,.,.,3
WI,WISCONSIN,1,2018,M12018,Missing,Missing,.,.,.,.,2
AK,ALASKA,2,2018,M22018,Missing,Missing,.,.,.,.,1
AL,ALABAMA,2,2018,M22018,Missing,Missing,.,.,.,.,172
AR,ARKANSAS,2,2018,M22018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,2,2018,M22018,Missing,Missing,.,.,.,.,11
CO,COLORADO,2,2018,M22018,Missing,Missing,.,.,.,.,.
CT,CONNECTICUT,2,2018,M22018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,2,2018,M22018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,2,2018,M22018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,2,2018,M22018,Missing,Missing,.,.,.,.,66
IL,ILLINOIS,2,2018,M22018,Missing,Missing,1,1,1,.,28
IN,INDIANA,2,2018,M22018,Missing,Missing,.,.,.,.,.
KS,KANSAS,2,2018,M22018,Missing,Missing,.,.,.,.,1
KY,KENTUCKY,2,2018,M22018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,2,2018,M22018,Missing,Missing,.,.,.,.,1
MA,MASSACHUSETTS,2,2018,M22018,Missing,Missing,.,.,.,.,.
MD,MARYLAND,2,2018,M22018,Missing,Missing,1,.,.,.,30
ME,MAINE,2,2018,M22018,Missing,Missing,.,.,.,.,3
MI,MICHIGAN,2,2018,M22018,Missing,Missing,2,1,1,.,153
MO,MISSOURI,2,2018,M22018,Missing,Missing,.,.,.,.,3
MT,MONTANA,2,2018,M22018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,2,2018,M22018,Missing,Missing,.,.,.,.,12
NH,NEW HAMPSHIRE,2,2018,M22018,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,2,2018,M22018,Missing,Missing,.,.,.,.,3
NM,NEW MEXICO,2,2018,M22018,Missing,Missing,.,.,.,.,3
NV,NEVADA,2,2018,M22018,Missing,Missing,.,.,.,.,7
NY,NEW YORK,2,2018,M22018,Missing,Missing,.,.,.,.,.
OH,OHIO,2,2018,M22018,Missing,Missing,2,1,.,.,6
OR,OREGON,2,2018,M22018,Missing,Missing,.,.,.,.,1
PA,PENNSYLVANIA,2,2018,M22018,Missing,Missing,.,.,.,.,16
SD,SOUTH DAKOTA,2,2018,M22018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,2,2018,M22018,Missing,Missing,.,.,.,.,.
UT,UTAH,2,2018,M22018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,2,2018,M22018,Missing,Missing,.,.,.,.,.
VT,VERMONT,2,2018,M22018,Missing,Missing,1,.,.,.,2
WA,WASHINGTON,2,2018,M22018,Missing,Missing,.,.,.,.,.
WI,WISCONSIN,2,2018,M22018,Missing,Missing,.,.,.,.,5
AK,ALASKA,3,2018,M32018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,3,2018,M32018,Missing,Missing,.,.,.,.,213
AR,ARKANSAS,3,2018,M32018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,3,2018,M32018,Missing,Missing,.,.,.,.,8
CO,COLORADO,3,2018,M32018,Missing,Missing,.,.,.,.,2
CT,CONNECTICUT,3,2018,M32018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,3,2018,M32018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,3,2018,M32018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,3,2018,M32018,Missing,Missing,3,.,.,.,165
IL,ILLINOIS,3,2018,M32018,Missing,Missing,.,.,.,.,35
IN,INDIANA,3,2018,M32018,Missing,Missing,.,.,.,.,.
KS,KANSAS,3,2018,M32018,Missing,Missing,.,.,.,.,4
KY,KENTUCKY,3,2018,M32018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,3,2018,M32018,Missing,Missing,.,.,.,.,3
MA,MASSACHUSETTS,3,2018,M32018,Missing,Missing,.,.,.,.,.
MD,MARYLAND,3,2018,M32018,Missing,Missing,.,.,.,.,43
ME,MAINE,3,2018,M32018,Missing,Missing,.,.,.,.,2
MI,MICHIGAN,3,2018,M32018,Missing,Missing,.,.,.,.,171
MO,MISSOURI,3,2018,M32018,Missing,Missing,.,.,.,.,4
MT,MONTANA,3,2018,M32018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,3,2018,M32018,Missing,Missing,.,.,.,.,15
NH,NEW HAMPSHIRE,3,2018,M32018,Missing,Missing,.,.,.,.,1
NJ,NEW JERSEY,3,2018,M32018,Missing,Missing,.,.,.,.,3
NM,NEW MEXICO,3,2018,M32018,Missing,Missing,.,.,.,.,1
NV,NEVADA,3,2018,M32018,Missing,Missing,.,.,.,.,46
NY,NEW YORK,3,2018,M32018,Missing,Missing,.,.,.,.,3
OH,OHIO,3,2018,M32018,Missing,Missing,1,1,.,.,9
OR,OREGON,3,2018,M32018,Missing,Missing,.,.,.,.,3
PA,PENNSYLVANIA,3,2018,M32018,Missing,Missing,.,.,.,.,11
RI,RHODE ISLAND,3,2018,M32018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,3,2018,M32018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,3,2018,M32018,Missing,Missing,.,.,.,.,.
UT,UTAH,3,2018,M32018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,3,2018,M32018,Missing,Missing,.,.,.,.,.
VT,VERMONT,3,2018,M32018,Missing,Missing,.,.,.,.,.
WA,WASHINGTON,3,2018,M32018,Missing,Missing,.,.,.,.,3
WI,WISCONSIN,3,2018,M32018,Missing,Missing,.,.,.,.,1
AK,ALASKA,4,2018,M42018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,4,2018,M42018,Missing,Missing,.,.,.,.,189
AR,ARKANSAS,4,2018,M42018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,4,2018,M42018,Missing,Missing,.,.,.,.,12
CO,COLORADO,4,2018,M42018,Missing,Missing,.,.,.,.,1
CT,CONNECTICUT,4,2018,M42018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,4,2018,M42018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,4,2018,M42018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,4,2018,M42018,Missing,Missing,1,1,1,.,202
IL,ILLINOIS,4,2018,M42018,Missing,Missing,.,.,.,.,39
IN,INDIANA,4,2018,M42018,Missing,Missing,.,.,.,.,.
KS,KANSAS,4,2018,M42018,Missing,Missing,.,.,.,.,2
KY,KENTUCKY,4,2018,M42018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,4,2018,M42018,Missing,Missing,.,.,.,.,4
MA,MASSACHUSETTS,4,2018,M42018,Missing,Missing,.,.,.,.,1
MD,MARYLAND,4,2018,M42018,Missing,Missing,3,.,.,.,31
ME,MAINE,4,2018,M42018,Missing,Missing,.,.,.,.,2
MI,MICHIGAN,4,2018,M42018,Missing,Missing,3,.,.,.,184
MO,MISSOURI,4,2018,M42018,Missing,Missing,.,.,.,.,2
MT,MONTANA,4,2018,M42018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,4,2018,M42018,Missing,Missing,1,.,.,.,23
NH,NEW HAMPSHIRE,4,2018,M42018,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,4,2018,M42018,Missing,Missing,.,.,.,.,5
NM,NEW MEXICO,4,2018,M42018,Missing,Missing,.,.,.,.,1
NV,NEVADA,4,2018,M42018,Missing,Missing,.,.,.,.,5
NY,NEW YORK,4,2018,M42018,Missing,Missing,.,.,.,.,.
OH,OHIO,4,2018,M42018,Missing,Missing,2,.,.,.,11
OR,OREGON,4,2018,M42018,Missing,Missing,.,.,.,.,3
PA,PENNSYLVANIA,4,2018,M42018,Missing,Missing,.,.,.,.,22
RI,RHODE ISLAND,4,2018,M42018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,4,2018,M42018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,4,2018,M42018,Missing,Missing,.,.,.,.,3
UT,UTAH,4,2018,M42018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,4,2018,M42018,Missing,Missing,.,.,.,.,1
VT,VERMONT,4,2018,M42018,Missing,Missing,.,.,.,.,.
WA,WASHINGTON,4,2018,M42018,Missing,Missing,.,.,.,.,1
WI,WISCONSIN,4,2018,M42018,Missing,Missing,.,.,.,.,5
AK,ALASKA,5,2018,M52018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,5,2018,M52018,Missing,Missing,.,.,.,.,143
AR,ARKANSAS,5,2018,M52018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,5,2018,M52018,Missing,Missing,.,.,.,.,11
CO,COLORADO,5,2018,M52018,Missing,Missing,.,.,.,.,2
CT,CONNECTICUT,5,2018,M52018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,5,2018,M52018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,5,2018,M52018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,5,2018,M52018,Missing,Missing,.,.,.,.,187
IL,ILLINOIS,5,2018,M52018,Missing,Missing,2,2,.,.,63
IN,INDIANA,5,2018,M52018,Missing,Missing,.,.,.,.,.
KS,KANSAS,5,2018,M52018,Missing,Missing,.,.,.,.,3
KY,KENTUCKY,5,2018,M52018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,5,2018,M52018,Missing,Missing,.,.,.,.,.
MA,MASSACHUSETTS,5,2018,M52018,Missing,Missing,1,.,.,.,8
MD,MARYLAND,5,2018,M52018,Missing,Missing,1,.,.,.,54
ME,MAINE,5,2018,M52018,Missing,Missing,.,.,.,.,3
MI,MICHIGAN,5,2018,M52018,Missing,Missing,3,1,1,.,193
MO,MISSOURI,5,2018,M52018,Missing,Missing,.,.,.,.,6
MT,MONTANA,5,2018,M52018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,5,2018,M52018,Missing,Missing,1,.,.,.,42
NH,NEW HAMPSHIRE,5,2018,M52018,Missing,Missing,.,.,.,.,.
NJ,NEW JERSEY,5,2018,M52018,Missing,Missing,.,.,.,.,6
NM,NEW MEXICO,5,2018,M52018,Missing,Missing,.,.,.,.,1
NV,NEVADA,5,2018,M52018,Missing,Missing,.,.,.,.,6
NY,NEW YORK,5,2018,M52018,Missing,Missing,.,.,.,.,1
OH,OHIO,5,2018,M52018,Missing,Missing,1,.,.,.,13
OR,OREGON,5,2018,M52018,Missing,Missing,.,.,.,.,5
PA,PENNSYLVANIA,5,2018,M52018,Missing,Missing,1,1,1,.,11
RI,RHODE ISLAND,5,2018,M52018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,5,2018,M52018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,5,2018,M52018,Missing,Missing,.,.,.,.,1
UT,UTAH,5,2018,M52018,Missing,Missing,.,.,.,.,.
VA,VIRGINIA,5,2018,M52018,Missing,Missing,.,.,.,.,.
VT,VERMONT,5,2018,M52018,Missing,Missing,.,.,.,.,1
WA,WASHINGTON,5,2018,M52018,Missing,Missing,.,.,.,.,2
WI,WISCONSIN,5,2018,M52018,Missing,Missing,.,.,.,.,4
AK,ALASKA,6,2018,M62018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,6,2018,M62018,Missing,Missing,.,.,.,.,105
AR,ARKANSAS,6,2018,M62018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,6,2018,M62018,Missing,Missing,.,.,.,.,20
CO,COLORADO,6,2018,M62018,Missing,Missing,.,.,.,.,3
CT,CONNECTICUT,6,2018,M62018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,6,2018,M62018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,6,2018,M62018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,6,2018,M62018,Missing,Missing,1,.,.,.,37
IL,ILLINOIS,6,2018,M62018,Missing,Missing,1,1,1,.,36
IN,INDIANA,6,2018,M62018,Missing,Missing,.,.,.,.,.
KS,KANSAS,6,2018,M62018,Missing,Missing,.,.,.,.,.
KY,KENTUCKY,6,2018,M62018,Missing,Missing,.,.,.,.,1
LA,LOUISIANA,6,2018,M62018,Missing,Missing,.,.,.,.,2
MA,MASSACHUSETTS,6,2018,M62018,Missing,Missing,.,.,.,.,.
MD,MARYLAND,6,2018,M62018,Missing,Missing,1,.,.,.,46
ME,MAINE,6,2018,M62018,Missing,Missing,.,.,.,.,2
MI,MICHIGAN,6,2018,M62018,Missing,Missing,4,.,.,.,199
MO,MISSOURI,6,2018,M62018,Missing,Missing,2,.,.,.,22
MT,MONTANA,6,2018,M62018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,6,2018,M62018,Missing,Missing,.,.,.,.,20
NH,NEW HAMPSHIRE,6,2018,M62018,Missing,Missing,.,.,.,.,1
NJ,NEW JERSEY,6,2018,M62018,Missing,Missing,.,.,.,.,2
NM,NEW MEXICO,6,2018,M62018,Missing,Missing,.,.,.,.,1
NV,NEVADA,6,2018,M62018,Missing,Missing,.,.,.,.,5
NY,NEW YORK,6,2018,M62018,Missing,Missing,.,.,.,.,1
OH,OHIO,6,2018,M62018,Missing,Missing,2,.,.,.,17
OR,OREGON,6,2018,M62018,Missing,Missing,.,.,.,.,4
PA,PENNSYLVANIA,6,2018,M62018,Missing,Missing,.,.,.,.,15
RI,RHODE ISLAND,6,2018,M62018,Missing,Missing,.,.,.,.,.
SD,SOUTH DAKOTA,6,2018,M62018,Missing,Missing,.,.,.,.,.
TN,TENNESSEE,6,2018,M62018,Missing,Missing,.,.,.,.,4
UT,UTAH,6,2018,M62018,Missing,Missing,.,.,.,.,10
VA,VIRGINIA,6,2018,M62018,Missing,Missing,.,.,.,.,1
VT,VERMONT,6,2018,M62018,Missing,Missing,.,.,.,.,1
WA,WASHINGTON,6,2018,M62018,Missing,Missing,.,.,.,.,4
WI,WISCONSIN,6,2018,M62018,Missing,Missing,.,.,.,.,5
AK,ALASKA,7,2018,M72018,Missing,Missing,.,.,.,.,.
AL,ALABAMA,7,2018,M72018,Missing,Missing,.,.,.,.,103
AR,ARKANSAS,7,2018,M72018,Missing,Missing,.,.,.,.,.
AZ,ARIZONA,7,2018,M72018,Missing,Missing,.,.,.,.,7
CO,COLORADO,7,2018,M72018,Missing,Missing,.,.,.,.,2
CT,CONNECTICUT,7,2018,M72018,Missing,Missing,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,7,2018,M72018,Missing,Missing,.,.,.,.,.
FL,FLORIDA,7,2018,M72018,Missing,Missing,.,.,.,.,.
GA,GEORGIA,7,2018,M72018,Missing,Missing,.,.,.,.,11
IL,ILLINOIS,7,2018,M72018,Missing,Missing,1,1,1,.,57
IN,INDIANA,7,2018,M72018,Missing,Missing,.,.,.,.,.
KS,KANSAS,7,2018,M72018,Missing,Missing,.,.,.,.,.
KY,KENTUCKY,7,2018,M72018,Missing,Missing,.,.,.,.,.
LA,LOUISIANA,7,2018,M72018,Missing,Missing,.,.,.,.,1
MA,MASSACHUSETTS,7,2018,M72018,Missing,Missing,.,.,.,.,.
MD,MARYLAND,7,2018,M72018,Missing,Missing,2,.,.,.,60
ME,MAINE,7,2018,M72018,Missing,Missing,.,.,.,.,6
MI,MICHIGAN,7,2018,M72018,Missing,Missing,5,3,2,1,270
MO,MISSOURI,7,2018,M72018,Missing,Missing,.,.,.,.,12
MT,MONTANA,7,2018,M72018,Missing,Missing,.,.,.,.,.
NC,NORTH CAROLINA,7,2018,M72018,Missing,Missing,.,.,.,.,24
NH,NEW HAMPSHIRE,7,2018,M72018,Missing,Missing,.,.,.,.,1
NJ,NEW JERSEY,7,2018,M72018,Missing,Missing,.,.,.,.,2
NM,NEW MEXICO,7,2018,M72018,Missing,Missing,.,.,.,.,1
