key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange
MO|2019|5|all|all:MO|2020|5|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,5,2020,5,all,all
MO|2019|6|all|all:MO|2019|7|all|all,7.14,12.77,43.41,-24.08,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2019,6,2019,7,all,all
MO|2019|6|all|all:MO|2020|6|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,6,2020,6,all,all
MO|2019|7|all|all:MO|2019|8|all|all,8.17,31.5,34.42,-6.65,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Increase,No Significant Change,No Significant Change,MO,US-MO,2019,7,2019,8,all,all
MO|2019|7|all|all:MO|2020|7|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,7,2020,7,all,all
MO|2019|8|all|all:MO|2019|9|all|all,-1.18,-26.22,-47,5.84,FALSE,TRUE,TRUE,FALSE,No Significant Change,Significant Decrease,Significant Decrease,No Significant Change,MO,US-MO,2019,8,2019,9,all,all
MO|2019|8|all|all:MO|2020|8|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,8,2020,8,all,all
MO|2019|9|all|all:MO|2019|10|all|all,-6.12,0.8,16.93,-7.65,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2019,9,2019,10,all,all
MO|2019|9|all|all:MO|2020|9|all|all,7.82,17.29,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2019,9,2020,9,all,all
MO|2020|1|all|all:MO|2020|2|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,1,2020,2,all,all
MO|2020|1|all|all:MO|2021|1|all|all,22.63,81.34,suppressed,suppressed,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,1,2021,1,all,all
MO|2020|10|all|all:MO|2020|11|all|all,-8.72,6.6,2.38,-4.93,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2020,10,2020,11,all,all
MO|2020|10|all|all:MO|2021|10|all|all,-13.16,-29.23,-6.61,-7.67,TRUE,TRUE,FALSE,FALSE,Significant Decrease,Significant Decrease,No Significant Change,No Significant Change,MO,US-MO,2020,10,2021,10,all,all
MO|2020|11|all|all:MO|2020|12|all|all,1.84,-4.05,suppressed,36.26,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2020,11,2020,12,all,all
MO|2020|11|all|all:MO|2021|11|all|all,-16.33,-41.39,suppressed,-2.91,TRUE,TRUE,FALSE,FALSE,Significant Decrease,Significant Decrease,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2020,11,2021,11,all,all
MO|2020|12|all|all:MO|2021|1|all|all,6.83,7.42,suppressed,-14.79,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2020,12,2021,1,all,all
MO|2020|12|all|all:MO|2021|12|all|all,-28.08,-47.99,suppressed,-33.46,TRUE,TRUE,FALSE,FALSE,Significant Decrease,Significant Decrease,Data Not Available/Not Reported,No Significant Change,MO,US-MO,2020,12,2021,12,all,all
MO|2020|2|all|all:MO|2020|3|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,2,2020,3,all,all
MO|2020|2|all|all:MO|2021|2|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,2,2021,2,all,all
MO|2020|3|all|all:MO|2020|4|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,3,2020,4,all,all
MO|2020|3|all|all:MO|2021|3|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,3,2021,3,all,all
MO|2020|4|all|all:MO|2020|5|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,4,2020,5,all,all
MO|2020|4|all|all:MO|2021|4|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,4,2021,4,all,all
MO|2020|5|all|all:MO|2020|6|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,5,2020,6,all,all
MO|2020|5|all|all:MO|2021|5|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,5,2021,5,all,all
MO|2020|6|all|all:MO|2020|7|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,6,2020,7,all,all
MO|2020|6|all|all:MO|2021|6|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,6,2021,6,all,all
MO|2020|7|all|all:MO|2020|8|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,7,2020,8,all,all
MO|2020|7|all|all:MO|2021|7|all|all,suppressed,suppressed,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,Data Not Available/Not Reported,MO,US-MO,2020,7,2021,7,all,all
