geoid,year,month,rate_time,jurisdiction_count,race_ethnicity,drug_rate,drug_pct,opioid_rate,opioid_pct,fentanyl_rate,fentanyl_pct,heroin_rate,heroin_pct,stimulant_rate,stimulant_pct,cocaine_rate,cocaine_pct,methamphetamine_rate,methamphetamine_pct,benzodiazepine_rate,benzodiazepine_pct
US,2025,4,Annual,41,Hispanic,43.9,13,10.7,11.3,2,12.7,0.8,10.2,2.8,16.5,1.5,19.9,0.8,12.9,0.9,12.5
US,2025,4,Annual,41,Missing,61,7.3,15.2,6.5,2.6,6.8,1.2,6.1,3.1,7.3,1.5,7.7,1,6.8,1,5.9
US,2025,4,Annual,41,"Multiple/Other, NH",61.2,3.3,16.9,3.2,3.1,3.6,1.5,3.4,3,3.1,1.3,2.9,1.1,3.4,1.2,3
US,2025,4,Annual,41,"NHOPI, NH",37.9,0.2,10.2,0.2,2.8,0.3,9999,0,2,0.2,9999,0.1,1.1,0.3,9999,0.1
US,2025,4,Annual,41,"White, NH",58.4,55.6,16.5,56.3,2.8,58.8,1.1,45.4,2.6,49.2,0.9,36.1,1.1,61.8,1.5,69
US,2025,5,Annual,41,"AIAN, NH",81.9,1.1,28.8,1.4,8.5,2.5,0.7,0.4,4.1,1.1,0.9,0.5,2.3,1.8,0.8,0.5
US,2025,5,Annual,41,"Asian, NH",36.2,1,4.6,0.5,0.9,0.6,0.2,0.3,1.3,0.8,0.4,0.6,0.4,0.7,0.6,0.8
US,2025,5,Annual,41,"Black, NH",53.5,18.5,16.5,20.5,1.9,14.6,2.2,33.7,3.1,21.7,2.1,31.8,0.6,12.3,0.5,8.2
US,2025,5,Annual,41,Hispanic,43.8,13,10.7,11.4,2,12.8,0.8,10.1,2.8,16.5,1.5,19.8,0.8,13.1,0.8,12.2
US,2025,5,Annual,41,Missing,61.3,7.3,15.3,6.5,2.6,6.8,1.2,6.2,3.1,7.4,1.5,8,1,6.8,1,5.9
US,2025,5,Annual,41,"Multiple/Other, NH",60.9,3.3,16.8,3.2,3.1,3.6,1.4,3.2,2.9,3.1,1.3,3,1.1,3.3,1.1,3
US,2025,5,Annual,41,"NHOPI, NH",37.8,0.2,10.3,0.2,2.8,0.3,9999,0,1.9,0.2,9999,0.1,1.1,0.3,9999,0.1
US,2025,5,Annual,41,"White, NH",58,55.6,16.4,56.4,2.8,58.8,1.1,46.1,2.6,49.4,0.9,36.2,1.1,61.8,1.5,69.2
US,2025,6,Annual,41,"AIAN, NH",81.6,1.1,28.4,1.4,8.2,2.5,0.7,0.4,4,1.1,0.9,0.5,2.2,1.7,0.9,0.6
US,2025,6,Annual,41,"Asian, NH",36,1,4.5,0.5,0.9,0.6,0.2,0.2,1.3,0.7,0.5,0.6,0.4,0.7,0.5,0.7
US,2025,6,Annual,41,"Black, NH",53,18.6,16.4,20.9,1.9,14.7,2.2,33.8,3.1,22,2.1,32.4,0.6,12.1,0.5,8.3
US,2025,6,Annual,41,Hispanic,43.7,12.7,10.6,11.2,2,12.8,0.8,9.8,2.7,16,1.5,19,0.8,12.9,0.8,11.8
